index,voted
0,0.673074372821187
1,0.8129825030909563
2,0.45108455565034705
3,0.25767247781235225
4,0.7411926821996762
5,0.5062188912048248
6,0.890314422699969
7,0.6224631945384541
8,0.3588976776897841
9,0.5413933913150002
10,0.3634608216133896
11,0.714891360935186
12,0.46152886012228594
13,0.5206707848129367
14,0.4016669186706692
15,0.9408217759576404
16,0.822469928683104
17,0.3339678086976257
18,0.43935078263447774
19,0.45065683835393155
20,0.5456989335017833
21,0.4978486238224927
22,0.2615994525150759
23,0.33249513946140863
24,0.6992566554695726
25,0.26575446676383885
26,0.9296690666288964
27,0.4875548784598111
28,0.3950241646665196
29,0.3257235343475578
30,0.4996387419102146
31,0.7291154916654895
32,0.282757957225239
33,0.5401697881610134
34,0.4892850538030204
35,0.34634577681721374
36,0.40188299416846346
37,0.49522984950736754
38,0.39667009702055295
39,0.3991266952194927
40,0.42190458089471133
41,0.8848973772638774
42,0.7513250522850202
43,0.6255755046673296
44,0.927673481322041
45,0.37655320145699306
46,0.7324843047036601
47,0.9241076153140112
48,0.41649109743291074
49,0.8428213136957714
50,0.28151482332751027
51,0.840707660284357
52,0.45484882416651934
53,0.8324887627186704
54,0.9503642146851995
55,0.5668081513911437
56,0.585812589580307
57,0.6018122714023787
58,0.7928749049921153
59,0.33643850963237937
60,0.8538905697974736
61,0.5711809150498026
62,0.5639546272515016
63,0.5251416378987475
64,0.3577763995846503
65,0.7251777928275601
66,0.35133205602349477
67,0.28196760692925366
68,0.4561967609505806
69,0.5158004418047043
70,0.3202625201903868
71,0.4791199243416675
72,0.3289790903097597
73,0.7540329012823919
74,0.8695280606025295
75,0.5712479864832547
76,0.5929492319264921
77,0.2940789008910034
78,0.5848875339022372
79,0.38203370113832286
80,0.9421891884322893
81,0.4144904309991908
82,0.4600539319716184
83,0.3470966940103856
84,0.7654093536754146
85,0.43593900839859256
86,0.8159575991526856
87,0.3917216468481406
88,0.4129854147231303
89,0.693442719131799
90,0.9631865502709602
91,0.42958938587875145
92,0.3275459835054606
93,0.3738497948340049
94,0.6050724808470127
95,0.8434992631639296
96,0.5040990492770919
97,0.8766935696198347
98,0.5404610524131099
99,0.5743680833549102
100,0.3150113486623314
101,0.41481297859331606
102,0.7689921958869723
103,0.32965970283687646
104,0.3210140127284969
105,0.38158425041802696
106,0.3408351190062038
107,0.5275829147167387
108,0.8102307856679944
109,0.33192852613233964
110,0.5953446658319055
111,0.28242325042545846
112,0.8120343599962423
113,0.8245950124768111
114,0.8511600271046303
115,0.946005643302375
116,0.4364882147311609
117,0.32149769487222346
118,0.30818386954726884
119,0.35819946015294873
120,0.3532758737024866
121,0.7470237688287629
122,0.9248641691875417
123,0.2983108447277398
124,0.40705682014238903
125,0.5492555467809374
126,0.9211272417232288
127,0.7671869288380561
128,0.9336175632053821
129,0.5315637452537102
130,0.3584451094563755
131,0.41199256527675443
132,0.2913194638984819
133,0.7482303896666197
134,0.9260303678154916
135,0.8849751893888728
136,0.305717135238935
137,0.7931782270560287
138,0.3495205391022173
139,0.9349628790774096
140,0.5341030171220917
141,0.8283966933953565
142,0.26470207068762414
143,0.37057133440931783
144,0.4809278006428524
145,0.359732123622668
146,0.7236622512256842
147,0.37513189874128666
148,0.5229882394029338
149,0.5176576054825911
150,0.3730421989581616
151,0.40879055463432684
152,0.7245971838635675
153,0.5023062935099025
154,0.6386013307194297
155,0.47336683197060525
156,0.8367549321946907
157,0.5075679913877013
158,0.9455912503173968
159,0.5055647730766434
160,0.8233384707974162
161,0.3788345445998546
162,0.40199503788344226
163,0.4277475595557991
164,0.6252862065133318
165,0.5717391090677048
166,0.4882208750735762
167,0.7706634979132693
168,0.4286921162032433
169,0.942944210487917
170,0.9501061307870119
171,0.41005527121483937
172,0.37519283588639657
173,0.7732929244481473
174,0.7726115819765983
175,0.779850216310097
176,0.8022531126310244
177,0.4722232251469331
178,0.2572689305750446
179,0.9177015217768906
180,0.9108674654885603
181,0.4814236184873379
182,0.8704581917893884
183,0.3889624677737147
184,0.3113933546066241
185,0.39649559959491915
186,0.5657550561542645
187,0.7520091185568482
188,0.7597781098047061
189,0.5881454540153793
190,0.6049535409174699
191,0.6980909029611739
192,0.7397119435700922
193,0.3054026163741244
194,0.48865468347240243
195,0.363966888476049
196,0.3684641893412853
197,0.2616060275080596
198,0.3501239780753762
199,0.47691908502994734
200,0.38973727607061964
201,0.537091974081438
202,0.38200412786446236
203,0.2708706428039831
204,0.9427264657053982
205,0.27397419329365325
206,0.3790026254279675
207,0.3084355216378216
208,0.2795235258965681
209,0.7496903775968566
210,0.8915543990050837
211,0.488391301377471
212,0.28323685595031645
213,0.9311648149035018
214,0.3775655446844031
215,0.448635902945364
216,0.7217256473683925
217,0.38993393221929856
218,0.30159201721541806
219,0.29733072975930563
220,0.47606758586371295
221,0.3902799260887706
222,0.8199559801549618
223,0.31163827877256384
224,0.48673220330756156
225,0.33934634302924144
226,0.436832069483299
227,0.952464409277446
228,0.4846420516210201
229,0.404059207143183
230,0.4039311478121508
231,0.39300876855777317
232,0.3525189627875777
233,0.7702909117266571
234,0.9280346958710899
235,0.740023373136582
236,0.8954240674713058
237,0.8051966796500625
238,0.8051554153867225
239,0.46850113129490717
240,0.7157053448766474
241,0.513201670104024
242,0.3312013071485352
